WSJ,NYT
0.9772727272727273,0.022727272727272728
0.8333333333333334,0.16666666666666666
0.3695652173913043,0.6304347826086957
0.5945945945945946,0.40540540540540543
0.25,0.75
0.7666666666666667,0.23333333333333334
0.35714285714285715,0.6428571428571429
0.6578947368421053,0.34210526315789475
0.391304347826087,0.6086956521739131
0.75,0.25
0.05,0.95
0.6410256410256411,0.358974358974359
0.07407407407407407,0.9259259259259259
0.03773584905660377,0.9622641509433962
1.0,0.0
0.25,0.75
0.2,0.8
0.022222222222222223,0.9777777777777777
0.4666666666666667,0.5333333333333333
0.07142857142857142,0.9285714285714286
0.4444444444444444,0.5555555555555556
0.7,0.3
0.8235294117647058,0.17647058823529413
0.125,0.875
0.9375,0.0625
